a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
XXXXX and consistency of the mle is established for XXXXX	['asymptotic normality', 'mle metamodels']
we study XXXXX and advertising policies in a XXXXX for a monopolist firm	['dynamic pricing', 'sales model']
we consider the XXXXX and XXXXX in two machine flow shops	['order acceptance', 'scheduling problem']
we use XXXXX to model spatial/functional connectivity in XXXXX	['integer programming', 'site selection']
we present a XXXXX for the size-robust XXXXX	['knapsack problem', 'column generation algorithm']
we present a XXXXX for the demand robust XXXXX	['shortest path problem', 'column generation algorithm']
we show that XXXXX decomposes uniquely into technical efficiency change and XXXXX	['technical change', 'productivity change']
we derive an aggregate XXXXX from individual XXXXX	['productivity index', 'productivity indices']
XXXXX based XXXXX on the quality of service are devised	['mathematical programming', 'lower bounds']
we develop novel heuristics for XXXXX in XXXXX	['channel assignment', 'wireless mesh networks']
we review the recent advances in XXXXX for XXXXX , minlp	['global optimization', 'mixed integer nonlinear programming']
an XXXXX is applied to a XXXXX with profits	['adaptive large neighborhood search', 'vehicle routing problem']
the XXXXX were successfully applied to a XXXXX and their worth is demonstrated	['case study', 'expansion models']
XXXXX : all phases of XXXXX	['disaster management', 'application area']
XXXXX are classified and discussed , as well as XXXXX	['objective functions', 'solution methods']
we consider a XXXXX with XXXXX on unrelated parallel machines	['scheduling model', 'maintenance activities']
analytic and XXXXX of the two-stage XXXXX are presented	['numerical solutions', 'dynamic model']
q-g and q-cg are q-analogs of the XXXXX and XXXXX	['steepest descent', 'conjugate gradient methods']
an efficient XXXXX that considers the XXXXX and “solvency-based” measures to produce offspring	['scatter search', 'search history']
we use a XXXXX to estimate the distribution of XXXXX times between any two locations in a city	['bayesian method', 'ambulance travel']
our XXXXX estimates outperform a recently-published method and a commercial XXXXX	['travel time', 'software package']
the XXXXX of nonlinear XXXXX is continuous with respect to changing the measure	['value function', 'stochastic optimization problems']
algorithm to minimize XXXXX for tree-shaped XXXXX	['investment cost', 'gas distribution networks']
we extend the XXXXX to take into account a XXXXX of the set of criteria	['hierarchical structure', 'electre tri methods']
the XXXXX hierarchy process is applied in conjunction with the XXXXX	['multiple criteria', 'electre tri methods']
two XXXXX based on johnsons rule and XXXXX	['approximation algorithms', 'linear programming']
XXXXX of 4 XXXXX of pmp is conducted	['comparative study', 'exact solution methods']
develop algorithm to compute XXXXX for discrete XXXXX	['robust solutions', 'optimisation problems']
we present a cyclic production scheme for XXXXX with XXXXX	['multiple products', 'stochastic demand']
we consider XXXXX , XXXXX and storage capacity	['sequence-dependent setup times', 'service levels']
we consider XXXXX , service levels and XXXXX	['sequence-dependent setup times', 'storage capacity']
we consider sequence-dependent setup times , XXXXX and XXXXX	['service levels', 'storage capacity']
the XXXXX based on real world data compares six strategies that control the XXXXX	['computational study', 'cycle length']
we present a biobjective formulation for identifying XXXXX from a given XXXXX	['robust solutions', 'pareto set']
XXXXX and a solution algorithm are developed for the case of multiobjective XXXXX	['structural properties', 'linear programs']
XXXXX and a XXXXX are developed for the case of multiobjective linear programs	['structural properties', 'solution algorithm']
structural properties and a XXXXX are developed for the case of multiobjective XXXXX	['linear programs', 'solution algorithm']
we derive equivalent XXXXX . thus , we compute optimal solutions and XXXXX	['upper bounds', 'mixed integer linear programming formulations']
a XXXXX illustrates XXXXX of defensive resources	['case study', 'optimal allocation']
we take a XXXXX and develop a XXXXX	['branch-and-price algorithm', 'column generation approach']
we provide a competitive XXXXX of the online one-way trading problem with XXXXX on prices	['limited information', 'difference analysis']
the gas market is represented by a partial XXXXX including XXXXX	['market power', 'equilibrium model']
we develop a XXXXX embedding fairness concerns into the XXXXX	['behavioral model', 'utility functions']
we propose a novel XXXXX , considering unloading activities at the terminal and XXXXX scheduling	['integrated model', 'pipeline pumping']
we propose a methodology based on XXXXX , XXXXX and a method to obtain optimal scenario trees	['historical data', 'statistical analysis']
we propose a methodology based on XXXXX , statistical analysis and a method to obtain optimal XXXXX	['historical data', 'scenario trees']
we propose a methodology based on historical data , XXXXX and a method to obtain optimal XXXXX	['statistical analysis', 'scenario trees']
XXXXX for XXXXX at isolated intersections are derived	['stochastic models', 'queue lengths']
we analyze XXXXX for XXXXX projects , accounting for market risk preferences	['investment timing', 'risk reduction']
a mechanism to discard low XXXXX before the XXXXX is proposed	['local search', 'quality solutions']
combination of binary XXXXX and minimization of XXXXX	['decision trees', 'boolean functions']
identifies the selection of XXXXX for XXXXX as research question	['business analytics', 'data items']
we model the XXXXX problem with XXXXX for container departure	['time windows', 'container relocation']
our approach accounts for dependencies among XXXXX and uncertainty in XXXXX	['project scores', 'portfolio constraints']
equivalence of surcharge pricing with joint economic XXXXX and XXXXX has been established	['lot sizing', 'quantity discount']
we study the two-machine flowshop problem with sequence-independent XXXXX to minimize XXXXX	['setup times', 'total completion time']
we study the XXXXX with sequence-independent XXXXX to minimize total completion time	['setup times', 'two-machine flowshop problem']
we study the XXXXX with sequence-independent setup times to minimize XXXXX	['total completion time', 'two-machine flowshop problem']
XXXXX assess the efficiency of XXXXX	['numerical experiments', 'branch-and-bound algorithms']
we present a XXXXX for XXXXX	['supplier selection', 'stochastic programming model']
solving a single XXXXX in the XXXXX is more efficient	['benders decomposition', 'master problem']
we examine the effects of service and XXXXX on XXXXX	['optimal policy', 'competition intensity']
we propose an XXXXX for an XXXXX	['exact algorithm', 'np-hard problem']
we characterize the structure of its XXXXX and derive XXXXX	['optimal policy', 'analytical solution']
a XXXXX for XXXXX and economic manufacturing quantity is proposed	['condition-based maintenance', 'joint optimization model']
the assumption that the XXXXX has discrete XXXXX has been relaxed	['state space', 'degradation process']
the XXXXX from the XXXXX are considerable when the costs related to unexpected failures are high	['cost savings', 'joint optimization model']
we study XXXXX where the processing times are also XXXXX	['scheduling problems', 'decision variables']
co-opetition leads to more profit and less XXXXX based on higher XXXXX and increased unit XXXXX	['carbon emissions', 'product prices']
XXXXX is used to find the minimum XXXXX	['multiobjective optimization', 'separation values']
presented a risk shaping model for XXXXX under XXXXX	['random yield', 'production planning problem']
used XXXXX as the XXXXX	['conditional value-at-risk', 'risk measure']
XXXXX increases price , whereas XXXXX reduces it	['demand uncertainty', 'cost uncertainty']
this paper raises the problem of measuring XXXXX of XXXXX in dea models	['partial derivatives', 'transformation functions']
this paper raises the problem of measuring XXXXX of transformation functions in XXXXX	['partial derivatives', 'dea models']
this paper raises the problem of measuring partial derivatives of XXXXX in XXXXX	['transformation functions', 'dea models']
we propose a new XXXXX for solving multi-objective XXXXX	['exact algorithm', 'integer programs']
analysis the impact of XXXXX on XXXXX	['capacity planning', 'problem characteristics']
we present a XXXXX ( de ) for XXXXX	['modified differential evolution', 'dynamic optimization']
results show that the XXXXX can exhibit chaos when XXXXX are at work	['social interactions', 'demand dynamics']
in numerical study , we show that the XXXXX is superior to the traditional XXXXX	['empirical bayes method', 'estimation method']
a heuristic XXXXX for this new XXXXX was developed	['optimization problem', 'solution method']
we analyze XXXXX for the erlang-a XXXXX	['risk measures', 'queueing model']
we analyze XXXXX of queues using XXXXX	['performance measures', 'risk measures']
we examine the effect of XXXXX and XXXXX on four types of supply contracts	['market share', 'asymmetric information']
the optimal transfer payment of a buyer is influenced by XXXXX of the buyer and XXXXX	['market share', 'supply network structure']
